iter	Passed	Remaining
0	1	99
1	1	80
2	2	72
3	2	65
4	3	64
5	4	62
6	4	60
7	5	58
8	5	57
9	17	160
10	18	150
11	19	142
12	20	133
13	20	127
14	21	121
15	21	114
16	22	109
17	22	103
18	23	99
19	23	95
20	24	93
21	25	90
22	27	90
23	37	120
24	39	117
25	39	113
26	40	109
27	41	105
28	41	102
29	42	98
30	42	95
31	43	92
32	44	89
33	44	86
34	45	84
35	46	81
36	47	80
37	48	78
38	49	77
39	50	75
40	56	81
41	57	79
42	57	76
43	58	74
44	58	71
45	59	69
46	60	67
47	60	65
48	61	63
49	62	62
50	62	60
51	63	58
52	63	56
53	64	54
54	64	53
55	65	51
56	66	50
57	67	49
58	69	48
59	70	46
60	70	45
61	71	43
62	71	42
63	72	40
64	72	39
65	73	37
66	74	36
67	76	35
68	77	34
69	77	33
70	78	32
71	78	30
72	83	30
73	84	29
74	85	28
75	87	27
76	91	27
77	93	26
78	95	25
79	96	24
80	97	22
81	99	21
82	101	20
83	102	19
84	104	18
85	105	17
86	105	15
87	106	14
88	107	13
89	107	11
90	108	10
91	108	9
92	109	8
93	110	7
94	110	5
95	111	4
96	111	3
97	112	2
98	112	1
99	121	0
