iter	Passed	Remaining
0	83	83011
1	84	42121
2	85	28494
3	86	21557
4	88	17555
5	89	14747
6	90	12828
7	91	11303
8	91	10103
9	92	9133
10	92	8346
11	93	7687
12	93	7133
13	94	6667
14	95	6251
15	95	5886
16	96	5575
17	96	5290
18	97	5040
19	98	4807
20	98	4604
21	99	4415
22	99	4240
23	100	4078
24	100	3933
25	101	3796
26	102	3694
27	103	3576
28	103	3463
29	103	3360
30	104	3264
31	106	3208
32	107	3136
33	108	3071
34	109	3011
35	109	2945
36	110	2885
37	111	2824
38	112	2776
39	113	2730
40	114	2682
41	115	2635
42	116	2599
43	117	2561
44	119	2540
45	126	2620
46	127	2589
47	128	2556
48	129	2519
49	132	2513
50	135	2518
51	137	2503
52	139	2484
53	140	2457
54	141	2428
55	141	2392
56	142	2365
57	143	2336
58	145	2324
59	147	2303
60	148	2284
61	149	2256
62	151	2248
63	154	2259
64	155	2242
65	156	2219
66	157	2193
67	158	2171
68	159	2149
69	159	2124
70	160	2102
71	161	2083
72	162	2059
73	162	2037
74	163	2014
75	163	1992
76	165	1979
77	167	1976
78	171	1993
79	172	1979
80	173	1963
81	173	1944
82	174	1922
83	174	1905
84	175	1887
85	175	1870
86	176	1854
87	177	1840
88	178	1829
89	179	1817
90	181	1810
91	181	1794
92	184	1795
93	185	1787
94	186	1774
95	187	1762
96	187	1746
97	188	1734
98	189	1723
99	190	1712
100	191	1703
101	191	1689
102	192	1676
103	192	1662
104	193	1648
105	194	1638
106	194	1625
107	195	1612
108	199	1630
109	200	1621
110	200	1609
111	201	1597
112	201	1584
113	202	1573
114	202	1561
115	204	1559
116	206	1557
117	207	1552
118	208	1544
119	209	1534
120	209	1524
121	210	1513
122	210	1503
123	211	1494
124	212	1487
125	213	1479
126	214	1471
127	214	1463
128	216	1460
129	217	1455
130	219	1454
131	220	1447
132	221	1441
133	221	1434
134	222	1427
135	223	1421
136	224	1415
137	225	1411
138	227	1406
139	227	1400
140	228	1394
141	229	1386
142	230	1378
143	230	1371
144	231	1362
145	231	1354
146	232	1346
147	232	1338
148	232	1330
149	233	1322
150	233	1314
151	234	1306
152	234	1300
153	235	1294
154	236	1287
155	236	1280
156	236	1272
157	237	1265
158	237	1258
159	238	1251
160	238	1243
161	239	1236
162	241	1242
163	248	1267
164	249	1264
165	250	1259
166	251	1254
167	252	1248
168	252	1241
169	252	1235
170	253	1229
171	254	1223
172	255	1219
173	259	1234
174	261	1231
175	262	1227
176	263	1223
177	263	1217
178	264	1211
179	264	1206
180	265	1202
181	266	1199
182	269	1201
183	272	1207
184	273	1205
185	274	1201
186	275	1197
187	276	1193
188	277	1188
189	277	1185
190	278	1181
191	279	1176
192	280	1171
193	281	1168
194	281	1163
195	282	1159
196	283	1154
197	284	1151
198	289	1167
199	292	1168
200	293	1166
201	294	1164
202	295	1162
203	297	1159
204	299	1162
205	302	1164
206	307	1176
207	309	1179
208	311	1178
209	312	1176
210	313	1173
211	314	1169
212	330	1219
213	331	1216
214	332	1214
215	339	1233
216	340	1229
217	341	1226
218	342	1222
219	346	1226
220	347	1224
221	348	1222
222	350	1220
223	352	1222
224	353	1217
225	354	1213
226	355	1208
227	355	1204
228	356	1198
229	356	1193
230	356	1188
231	357	1183
232	359	1185
233	361	1182
234	371	1209
235	372	1205
236	373	1201
237	373	1196
238	374	1193
239	375	1189
240	376	1184
241	382	1197
242	383	1195
243	385	1192
244	385	1188
245	387	1187
246	390	1190
247	391	1187
248	397	1198
249	398	1195
250	399	1191
251	400	1187
252	400	1183
253	401	1178
254	402	1174
255	402	1170
256	403	1166
257	404	1164
258	406	1163
259	413	1178
260	415	1175
261	415	1170
262	416	1166
263	416	1161
264	417	1156
265	417	1152
266	417	1147
267	418	1142
268	418	1138
269	419	1134
270	420	1130
271	420	1126
272	421	1123
273	424	1123
274	425	1122
275	431	1130
276	431	1127
277	432	1123
278	433	1119
279	436	1122
280	449	1150
281	450	1146
282	452	1145
283	462	1167
284	464	1166
285	465	1162
286	466	1158
287	467	1154
288	483	1188
289	484	1185
290	484	1181
291	485	1178
292	486	1173
293	487	1169
294	494	1182
295	495	1178
296	496	1174
297	496	1170
298	497	1166
299	497	1161
300	498	1157
301	499	1153
302	499	1149
303	500	1145
304	500	1141
305	502	1139
306	503	1135
307	514	1156
308	515	1152
309	516	1149
310	518	1149
311	547	1207
312	548	1204
313	549	1200
314	559	1216
315	560	1213
316	561	1208
317	561	1205
318	571	1219
319	574	1219
320	575	1217
321	580	1222
322	581	1218
323	581	1213
324	582	1209
325	583	1206
326	584	1203
327	586	1201
328	587	1198
329	589	1197
330	591	1194
331	591	1190
332	597	1196
333	599	1194
334	601	1194
335	602	1191
336	604	1189
337	625	1225
338	630	1228
339	634	1231
340	636	1230
341	638	1228
342	642	1229
343	643	1226
344	644	1222
345	644	1219
346	645	1214
347	646	1210
348	646	1206
349	647	1202
350	650	1201
351	652	1200
352	653	1197
353	654	1193
354	657	1195
355	658	1191
356	659	1188
357	660	1184
358	661	1181
359	662	1177
360	663	1174
361	664	1170
362	664	1166
363	665	1162
364	665	1158
365	668	1157
366	670	1156
367	672	1154
368	673	1152
369	675	1149
370	675	1146
371	676	1142
372	677	1138
373	678	1134
374	678	1131
375	679	1127
376	679	1123
377	680	1120
378	681	1116
379	683	1114
380	683	1111
381	691	1119
382	693	1117
383	695	1115
384	696	1112
385	697	1109
386	698	1106
387	700	1105
388	707	1111
389	708	1107
390	709	1104
391	709	1100
392	709	1096
393	710	1092
394	710	1088
395	711	1084
396	711	1081
397	712	1078
398	717	1081
399	719	1078
400	720	1076
401	725	1079
402	727	1077
403	728	1074
404	728	1070
405	729	1067
406	730	1064
407	731	1060
408	731	1057
409	736	1059
410	741	1062
411	742	1060
412	754	1071
413	755	1068
414	766	1079
415	767	1077
416	769	1075
417	770	1072
418	773	1072
419	774	1069
420	776	1067
421	778	1066
422	779	1063
423	780	1060
424	781	1056
425	782	1054
426	813	1091
427	815	1090
428	818	1089
429	820	1088
430	821	1084
431	823	1082
432	824	1079
433	826	1077
434	827	1074
435	829	1073
436	837	1078
437	841	1079
438	841	1075
439	842	1072
440	843	1069
441	844	1065
